,C_0002,C_0003,C_0004,C_0005,C_0006,C_0008,C_0009,C_0010,C_0011,C_0012,C_0013,C_0014,C_0015,C_0016,C_0017,C_0018,C_0019,C_0020,C_0021,C_0022,C_0023,C_0024,C_0025,C_0026,C_0029,C_0031,C_0032,C_0033,C_0035,C_0036,C_0037,C_0038,C_0039,C_0050,C_0053,C_0060,C_0061,C_0062,C_0065,C_0069,C_0070,C_0071,C_0075,C_0076,C_0077,C_0081,C_0082,C_0083,C_0087,H_0001,H_0002,H_0003,H_0005,H_0006,H_0007,H_0008,H_0009,H_0010,H_0012,H_0013,H_0539,H_0657,H_0658,H_0681,H_0695,H_0700,H_0726,H_0740,H_0750
ENSG00000003096.9,106.1681017,125.9083307,146.8128714,183.3681284,194.3487029,156.6056479,61.35527816,94.2974858,149.7787935,147.6174138,132.8892378,143.692944,265.710745,200.3182947,131.8658812,288.6164098,118.8543554,251.5764983,123.9607945,166.7471697,130.0173812,130.9071683,135.7678167,138.8932463,166.450892,199.1501039,270.6699379,138.8834133,262.6562213,214.0104004,188.4383087,247.8444655,100.0970061,304.5814068,190.4188012,98.11931517,163.6283364,199.059868,1582.140783,208.2182992,121.9718091,170.3829231,147.7577502,251.7529026,322.7539204,287.5831973,188.0155192,170.3300727,250.9871913,195.4644582,180.4169977,212.25244,118.0087531,168.5660457,212.1324161,196.0763864,195.3180664,247.8484846,127.0115819,148.7671673,231.9686688,176.5090346,221.7532764,162.4362066,277.6124916,268.6056762,365.3624397,195.3830996,248.8494544
ENSG00000003137.4,1038.859836,331.1289957,691.4092662,954.5054467,785.3274118,627.4137665,67.29288573,523.1028949,609.0342994,781.6787883,902.4567638,958.2832884,629.5758323,970.8495568,664.2867698,4232.381735,416.9806968,1263.825243,457.16741,822.8178788,400.9696335,834.0373373,814.6069005,497.0394028,496.3803386,804.5267881,778.3000046,944.4072107,1099.191507,1092.840147,885.660051,852.5849613,801.7671084,1090.341909,538.5281722,821.6253765,455.1842812,878.4383229,160.492678,1063.896357,521.6030211,358.5966173,854.8132931,1526.375866,1280.125212,737.7996509,867.8400546,949.6891842,932.8027896,405.8119969,534.3118778,207.2932708,530.5435541,254.8321986,261.6960647,751.626148,430.2946234,1010.230423,668.795361,818.2194203,964.553482,398.6327635,841.4744865,406.0905165,1631.964862,1184.442004,782.2122693,218.1943244,328.1640215
ENSG00000003147.13,1232.34376,410.44133,1344.131357,1474.87446,1152.210167,1320.245082,60.3656769,1998.114094,1057.378767,960.0085499,1479.632408,1165.399325,1580.384058,1527.179078,1117.389835,1491.514255,1358.901463,1749.149984,1227.707708,2079.376907,1521.501109,1687.909094,1541.01427,1643.900779,1165.156244,1945.924399,1466.376697,1867.981909,1809.850038,2046.969849,1803.05708,1709.135434,1454.875297,1255.034136,1020.525763,1414.305684,1956.598228,1779.654641,893.6073802,1959.235044,1415.071314,788.5163187,1602.527009,1942.660194,1789.997203,1733.432513,1604.069246,1468.601731,1547.424967,1864.353893,952.6414,746.8508753,1258.429477,1266.228473,821.765294,724.888459,681.1345767,1439.503998,635.0579096,2484.411694,1831.957692,1283.161184,1402.787468,796.3335982,665.2785068,1011.979319,1267.381905,942.2027646,779.2656221
ENSG00000003249.8,4170.322723,1704.223783,4017.514387,2950.740098,3064.958371,2424.414017,398.8093081,3613.082614,4036.092124,1497.969997,2752.988985,3077.010973,4170.072363,3282.443343,1903.627758,1775.188603,2904.998536,3907.359392,2412.772903,3901.685261,4070.23878,3371.851304,3077.073511,3122.121758,2936.669309,2877.273144,2555.996703,2691.362146,3882.356298,3586.655785,3494.042956,2572.625552,2564.861899,1976.306718,2205.684447,1260.684534,2283.854901,2554.106465,438.8781258,3422.712232,3541.149027,1014.372752,2948.213365,3255.938131,2750.338623,2387.932204,2469.93019,1973.650202,2398.212257,2354.503346,1456.22291,1831.917087,2467.275444,2625.664054,1446.267266,1996.414117,2310.10708,2321.844603,2929.204608,1831.81972,3730.333764,2638.710905,2660.049347,1384.669615,1276.025988,2411.504097,2229.800038,2268.229182,2472.63163
ENSG00000003393.10,1725.479708,1553.530348,1908.567329,2215.285227,1798.717077,2225.187845,1231.063968,1646.731884,1467.038646,1811.037801,2330.520214,1953.233052,2079.087434,1981.366103,1895.695976,14106.62123,1751.120836,2375.119854,1600.581778,1972.182298,1587.998549,1924.930406,1697.593212,1662.750577,1377.182975,1691.289689,2441.978231,1962.224226,2075.479726,1987.522515,2035.133734,2053.143552,1848.325905,2455.50157,1738.563326,1860.302571,2132.126808,1988.617985,1313.662291,1918.5829,1696.69728,1644.393328,2086.458432,2656.290469,2560.250424,2331.40723,1845.520755,2221.222983,2408.093642,1676.827078,1853.735086,1575.032125,2028.957218,1564.68953,2067.79542,1852.822823,2134.618258,2164.212967,2273.308861,2101.584184,2353.391538,2083.401583,2454.135591,2055.214199,1416.815181,2110.18998,2357.528371,1891.348076,1645.777268
ENSG00000003400.10,155.7793641,132.84816,149.788808,148.6768609,100.1490765,134.7997982,202.8682584,114.1495881,285.6708114,105.0164152,172.5576669,126.846185,81.29955629,185.4431738,105.0961158,72.15410244,216.9091986,85.1794443,137.8444034,273.9417787,198.4998186,197.3524734,156.5789419,150.7983817,174.3771249,71.33735067,125.9160517,133.9232914,141.735244,79.26311127,84.30134864,121.939477,83.24899518,136.9128148,119.0117508,235.8827981,137.8444773,113.8899742,146.6229404,93.20247677,203.2863485,146.6085618,152.716064,92.17724388,130.6856365,154.6999268,102.9137579,139.6310479,154.1496135,117.0802338,214.121272,123.979229,119.0004233,192.3636051,146.7083999,167.3581278,163.5912739,87.24266657,126.0193039,180.504163,135.8107164,142.7938257,67.31795892,94.09414407,464.0094503,152.639388,69.30994791,227.1204559,113.0232582
ENSG00000003402.14,417.7268299,851.6161895,445.3985086,531.2719828,366.8827555,827.6311138,915.3811661,241.2030426,713.185116,641.9871418,764.6089724,396.3943282,294.4630271,798.2981545,588.9348377,2532.312472,909.2358187,335.7654839,428.4085057,537.9581307,450.5945882,515.6949054,473.7008497,522.8338628,592.4859131,222.9292208,530.4337611,393.8336792,317.1697767,234.8169671,244.9698013,369.7839425,523.2793983,461.3366586,410.5905401,674.9419559,627.7377996,335.7278371,828.2214743,222.0995191,847.8528194,751.8641783,509.714655,245.8059837,437.5988737,646.5663608,334.4697132,420.8737261,503.9506596,318.4979242,1192.536529,459.2190641,500.7934482,469.0102331,818.791475,792.227824,898.2648129,362.8501814,543.7683351,511.7590556,407.4321491,510.6862518,471.2257124,697.2871308,1595.280354,696.7888944,290.1116391,959.0632352,520.5018468
ENSG00000003436.10,89.30027243,37.67335879,42.65509103,68.39135599,24.78937537,61.45284917,25.72963278,34.74117898,22.81398841,20.80513885,197.3504352,45.58534774,28.7522821,216.1850903,22.80387419,39.53649449,299.1167944,53.48476735,30.74227703,89.32884088,42.677461,56.5280954,49.55029808,44.64425774,114.9303778,38.64106495,81.30012787,47.61717029,45.5931554,76.2907446,68.43285948,77.32747324,116.945017,55.5588234,65.45646291,199.2119429,174.5368922,98.04441259,87.18120782,66.43155259,396.6562898,78.25727284,92.22463603,48.56650484,59.40256204,149.7415958,92.02864889,48.52426489,93.87316209,117.0802338,462.9381205,64.46919906,177.5089648,332.1742666,238.8967863,302.0368579,215.1473117,63.44921205,146.8571416,143.8082617,68.40101774,34.70683265,82.16750868,120.8366903,438.2311475,227.9679171,56.43810044,115.0479165,198.2864178
ENSG00000003509.11,531.8327336,448.1146888,507.8931769,529.2896246,440.2593066,496.5786683,474.0190039,506.228608,449.3363805,483.4717981,451.2283819,554.9520595,460.0365137,482.9455916,419.3929905,453.6812743,543.7586759,497.2102446,416.5082694,552.8462708,435.7071018,437.3489486,470.7278318,470.2528482,366.588274,567.7264157,589.9216595,636.8796526,557.0294203,629.1509457,779.5395298,591.8525836,669.9561993,560.5488432,652.5811,515.3741807,471.0512714,525.8745766,490.394294,617.7142876,678.2822555,449.7316692,688.2139506,714.6214284,646.4978836,644.5830284,609.5661045,698.1552397,653.1595804,568.5336778,560.0857346,657.5858304,648.5523072,542.3860413,582.8685077,560.5011855,593.8858973,609.707272,567.5830067,445.3097209,651.2966471,500.7700139,591.0120805,581.4027639,577.0373934,548.1141659,746.5671532,523.6663787,552.2276737
ENSG00000003756.12,4507.679307,7135.135874,3737.776349,4089.604853,4432.340317,4819.092785,10837.12341,5401.757029,4678.85145,6839.937078,4430.963539,4285.022688,4496.262046,4053.96628,5402.535237,7545.539973,4398.601602,4100.49883,5069.50065,4379.098289,4796.748116,4522.247632,5108.635732,3885.042518,3332.980956,4112.796425,5465.946402,4584.144664,4394.783718,4415.946087,4030.596246,4060.683723,4485.535145,3922.84978,4398.475955,3956.487941,6360.679695,4655.624077,6019.466122,3581.354746,4100.434396,6659.792978,3884.343003,3716.82435,4373.018609,4279.039642,4049.260551,4413.727523,4567.17637,2929.982462,5159.727874,3736.238044,4333.59875,3008.408134,4299.15088,4139.390381,4989.038122,4515.799389,4354.115793,5290.16047,4415.335261,5128.678241,3955.920057,7352.219278,5002.973689,4532.596891,3810.066851,4424.385824,3351.040461
