,C_0002,C_0003,C_0004,C_0005,C_0006,C_0008,C_0009,C_0010,C_0011,C_0012,C_0013,C_0014,C_0015,C_0016,C_0017,C_0018,C_0019,C_0020,C_0021,C_0022,C_0023,C_0024,C_0025,C_0026,C_0029,C_0031,C_0032,C_0033,C_0035,C_0036,C_0037,C_0038,C_0039,C_0050,C_0053,C_0060,C_0061,C_0062,C_0065,C_0069,C_0070,C_0071,C_0075,C_0076,C_0077,C_0081,C_0082,C_0083,C_0087,H_0001,H_0002,H_0003,H_0005,H_0006,H_0007,H_0008,H_0009,H_0010,H_0012,H_0013,H_0539,H_0657,H_0658,H_0681,H_0695,H_0700,H_0726,H_0740,H_0750
ENSG00000000003.10,319.4965303,307.3352954,258.9064827,232.927082,229.0538284,290.4142711,143.4921828,254.1069091,386.8458905,218.9493184,309.4137476,327.0253208,265.710745,310.3941893,331.1519121,135.4124936,331.8017421,169.3684299,390.7244242,253.0983825,338.4421907,357.0195499,212.0752758,283.7390603,365.5974949,196.1777143,356.9273906,237.0938271,252.7446658,212.0288226,248.9369236,221.0772632,399.396965,323.4317219,310.4223165,1053.543758,329.2400466,379.3031315,1762.447372,376.7759699,381.7816789,541.8573195,367.9068814,236.8856052,259.3911876,372.8664903,212.7544034,315.9028673,314.2280584,239.1214945,769.2504957,631.7981508,358.9846104,520.5716118,426.247378,558.5206159,564.1420293,385.652242,250.0540519,509.7754934,238.9079025,283.6044039,402.9177835,231.7687338,1100.535235,557.0346496,316.8454762,566.3134512,745.5569311
ENSG00000000005.5,0,1.982808357,6.943852028,1.982358145,2.974725045,7.929399892,0.989601261,7.94084091,4.959562699,3.962883591,4.958553647,1.981971641,8.923122032,6.941723082,0,0,3.961811846,9.904586546,0.991686356,6.947798735,1.984998186,12.89237263,1.982011923,7.936756931,0.990779119,5.944779222,9.91464974,12.89631695,18.83195549,1.981577782,0.991780572,7.931022896,4.955297332,4.960609232,5.950587538,13.87545871,1.983373774,6.932433214,0.990695543,5.949094262,5.949844347,0,2.974988259,9.9115316,2.970128102,2.974998593,9.895553645,1.98058224,6.916969838,0,1.98260437,3.967335327,3.966680778,0.991564975,8.92145675,2.97085434,0,5.94836363,2.976833951,21.81918454,8.921871879,1.98324758,1.979939968,3.961858698,4.957365922,5.946989141,6.930994791,2.975377152,8.922888803
ENSG00000000419.8,600.2962758,570.0574028,598.1632532,633.3634272,440.2593066,656.1578411,652.1472308,578.6887813,415.6113541,544.8964938,511.7227364,656.0326132,669.2341524,605.9132576,537.3782526,597.0010668,646.7657839,637.8553736,546.419182,688.8246175,483.3470583,593.0491412,636.2258274,545.652039,618.2461702,1179.047879,941.8917253,1107.099209,1135.864263,1024.475713,1068.147676,826.8091369,954.3902662,1023.869745,1037.385761,1066.428112,991.6868872,1005.202816,1034.286147,1232.454028,1248.475672,862.811198,986.7044392,1083.330404,948.4609073,1045.216172,1146.894667,1045.747423,946.6367293,1036.854613,910.015406,1356.828682,831.019623,993.5481049,900.0758588,714.9856112,818.9478316,960.6607262,954.5714203,1103.852382,1031.963181,939.067729,914.7322653,882.5040249,920.0871152,940.6154492,1079.254903,955.0960656,1099.498187
ENSG00000000457.8,157.7638146,168.5387104,182.5241104,190.3063819,195.3402779,196.2526473,304.7971883,164.7724489,202.3501581,314.0585246,230.0768892,177.3864619,205.2318067,220.1517892,250.8426161,410.1911303,222.8519163,191.1585203,233.0462936,147.8888588,178.6498367,178.5097749,184.3271089,197.4268287,200.137382,139.7023117,269.6784729,187.492608,205.1691993,265.5314227,185.462967,240.9048205,131.810909,258.9438019,135.8717488,185.3364842,199.3290643,214.9054296,232.8134527,181.447375,202.2947078,286.2829348,146.7660874,264.6378937,289.0924686,271.7165381,189.99463,252.5242356,231.2244203,86.32186731,261.7037769,92.24054635,234.0341659,83.2914579,281.5215241,197.0666712,147.7278776,268.6677573,165.7104233,336.2137982,250.8037317,149.7351923,282.1414455,189.1787528,340.0753023,264.6410168,251.4960967,189.4323453,157.6377022
ENSG00000000460.12,151.8104631,156.6418602,146.8128714,108.0385189,137.8289271,157.5968229,325.5788148,110.1791676,106.1346417,262.5410379,127.9306841,115.945341,129.8809985,139.8261364,149.7123914,303.4425952,119.8448083,133.7119184,134.8693444,104.216981,89.32491836,138.8409361,119.9117214,104.1699347,103.0410284,178.3433767,145.7453512,134.9153158,151.6467995,145.645967,141.8246218,158.6204579,119.9181954,134.9285711,134.8799842,185.3364842,167.5950839,137.6583167,144.6415493,99.15157104,134.8631385,217.9316459,101.1496008,134.7968298,199.9886255,143.7915986,178.1199656,193.1067684,156.1258906,124.0256714,231.9647113,111.0853891,256.8425804,127.9118818,275.5738863,126.7564518,164.5827361,168.5369695,117.0888021,248.93706,139.7759928,157.6681826,144.5356177,326.8533426,192.3457978,185.3478282,156.4424539,90.25310693,132.8519
ENSG00000000938.8,332.3954585,302.3782745,243.034821,198.2358145,154.6857023,289.4230961,166.2530118,197.5284176,320.3877503,81.23911362,197.3504352,292.3408171,103.1116324,385.7614684,139.7976635,69.18886535,286.2409059,104.9886174,115.0356173,324.5614552,218.3498004,205.2862412,128.830775,270.8418303,636.0801944,122.8587706,156.6514659,168.6441448,188.3195549,146.6367558,56.53149262,79.31022896,236.8632125,137.9049366,185.4599783,452.9346165,238.9965398,151.5231831,107.9858142,111.0497596,540.4441948,179.2983087,437.3232741,85.23917176,95.04409927,215.1915649,114.7884223,94.07765642,132.4105655,147.8386003,599.737822,311.4358232,355.0179296,444.2211088,300.3557106,454.540714,491.7652839,225.046424,421.7181431,276.7069312,192.3159049,502.7532615,282.1414455,377.367041,1065.833673,479.7237907,184.166433,460.1916661,627.5765125
ENSG00000000971.11,668.759818,310.3095079,501.9413037,638.3193226,296.4809295,1039.742561,222.6602837,261.0551449,320.3877503,73.31334644,1405.254104,568.825861,142.7699525,1631.304924,278.6038542,124.5399576,1460.918118,209.9772348,210.2375074,740.4368367,289.8097351,396.6883887,199.1921983,458.3477128,1312.782333,195.1869178,492.7580921,324.3919726,401.4179986,194.1946226,148.7670858,293.4478472,579.7697879,334.3450622,916.3904808,1478.727457,669.3886489,615.0058608,811.3796501,308.3613859,2066.57927,794.4599091,777.4635983,258.6909748,491.0611796,1035.29951,292.9083879,293.1261716,583.989882,275.8330933,3209.836476,842.0669231,829.0362826,1178.970755,1666.329866,3643.257706,1978.958683,1242.216605,1455.671802,1901.244398,644.3574135,1178.049062,608.8315402,1575.829297,6733.094396,6492.129813,651.5135104,1131.63511,3193.402759
ENSG00000001036.8,365.1388917,591.8682947,378.9359249,411.339315,343.0849552,420.2581943,1212.261544,373.2195228,478.1018441,788.6138346,456.1869356,368.6467252,336.1042632,472.0371696,572.0798003,412.167955,547.7204877,350.6223637,554.3526728,331.509254,453.5720855,390.7380629,486.5839272,422.6323066,628.1539614,553.8552642,447.1507033,495.0201661,312.2139989,446.8457898,471.0957718,503.6199539,416.2449759,423.6360284,517.7011158,430.13922,477.0013928,506.0676246,745.9937442,423.3772083,486.8955957,721.1556282,449.2232271,276.5317316,455.4196423,418.4831353,627.3781011,484.2523578,438.7335154,364.1393713,621.5464701,486.9904114,419.4764923,408.5247697,588.8161455,452.5601445,475.9018876,401.514545,325.4671787,509.7754934,416.354021,523.5773611,343.5195845,575.4599758,900.2576515,419.2627345,457.4456562,550.444773,705.8996475
ENSG00000001084.6,1243.258237,1814.269647,1149.7035,1545.248174,1392.171321,1731.582701,4795.607709,1093.850835,1824.127161,2704.668051,1257.489205,1281.344666,1093.578178,1089.850524,2293.276565,951.8411048,1132.087735,1164.779378,1744.3763,818.8477081,911.1141673,1302.129636,1657.952974,1232.181514,1223.612212,1571.403308,1767.782049,1615.015692,1287.511062,1233.532169,1266.503791,1495.989194,1347.840874,1364.167539,1555.086877,2098.167578,1841.56255,1790.548464,3217.779125,1264.182531,793.3125796,2336.821603,1317.919799,1294.446027,1720.694214,1479.565967,1798.022097,1929.087102,1765.803586,1048.761078,1907.265404,1517.505762,1623.364108,937.0289013,1676.242596,1744.881782,1450.509295,1345.321574,1211.571418,1307.16751,1066.659349,1222.672133,1627.510654,2867.395232,2012.690564,1884.204393,1547.592123,1204.035954,1618.01717
ENSG00000001167.10,514.9649044,927.9543113,514.8370289,713.6489321,692.1193604,727.5224401,1120.228627,563.7997046,717.1527662,1130.412544,680.3135604,552.9700878,638.4989543,689.2139346,787.2293959,1033.879331,790.3814633,701.2447275,816.1578708,491.3086249,613.3644394,652.5523995,623.3427499,607.1619052,726.2410942,376.5026841,756.4877751,492.044093,480.7104428,594.4733345,510.7669947,839.6970491,476.6996034,847.2720568,371.9117211,635.2977881,520.6356158,654.6197649,775.7146105,429.3263026,479.9541106,909.3693223,528.5562473,697.7718247,895.9886441,862.7495918,499.725459,687.2620374,749.9971582,336.3576209,825.7547203,393.7580312,762.5943796,394.64286,821.765294,729.8398829,859.5977845,624.5781811,752.1467117,858.882446,697.8886447,561.2590651,851.3741864,1040.978373,877.4537682,656.1511353,730.7248794,765.6637203,512.5703901
ENSG00000001460.13,527.8638326,746.5273466,732.0803995,942.6112978,807.1420621,824.6575888,675.8976611,741.4760199,590.1879611,641.9871418,1089.890092,756.1221811,833.816181,883.5821809,784.2549775,763.0543436,723.0306619,918.1551728,730.8728442,750.3622634,866.4517081,781.4761258,803.7058349,722.2448807,629.1447405,804.5267881,787.2231893,680.5287253,843.4733749,874.8665906,759.7039183,848.6194499,738.3393025,625.0367632,635.7211019,442.0324704,757.6487818,783.3649531,606.3056726,669.2731045,607.8757641,613.1804036,718.9554959,990.1620069,792.0341606,673.3413481,910.3909353,714.9901888,603.752653,547.697365,543.2335975,532.6147676,614.8355206,592.955855,869.3463966,415.9196076,553.2359444,758.4163628,653.9111913,595.0686693,844.6038712,947.0007193,744.4574281,847.8377613,376.7598101,637.319003,776.2714166,646.6486343,555.2019699
ENSG00000001461.12,2562.917819,7440.488361,2918.401809,4441.473423,4987.622325,3054.801309,10126.5897,2921.23685,5466.430006,7920.813578,4197.911518,2972.957462,3113.178131,3995.457471,5944.870853,10120.35418,2654.413937,4668.031639,5404.690639,3142.390114,3898.536437,2638.969506,5260.259644,3239.188922,2902.982818,3840.327378,3817.14015,4014.72267,3737.647587,3508.383463,3765.790833,4976.716867,3691.696513,3140.065644,3317.452552,2732.474262,2997.86946,3374.11428,3265.332511,2993.38593,1799.827915,5957.45872,3229.845587,4540.472626,5013.576236,3359.765077,4912.152829,4127.533389,3775.677393,2667.048038,2173.925692,3584.487468,2574.375825,2215.156154,3638.963081,2509.381633,2352.739957,3307.290178,3480.911167,2171.008862,3600.470963,3461.75865,3987.599096,6499.429194,1790.600571,2395.645459,3784.323156,2758.174619,2071.101634
ENSG00000001497.12,2973.699072,3372.757016,2666.439179,2030.925919,2413.493586,2726.722388,3838.66329,3260.707799,2208.989226,2605.595961,2093.50135,2628.094396,2609.517465,1769.147711,2513.383525,4342.095507,2273.089547,2514.774524,3023.651699,3184.076906,3529.326774,2828.388212,2502.290053,2652.861004,1810.15345,1759.65465,1801.491858,2224.118662,2356.967903,2447.24856,1940.91458,1902.454117,2956.330388,1822.527832,1803.028024,2912.855225,2212.453445,1698.446137,1245.304298,1622.119702,2680.404878,2419.041269,2123.149954,1491.685506,1499.914692,1258.424405,1703.024782,1586.446375,1615.606526,1584.551978,1631.683397,1467.914071,1587.663981,1798.698865,2160.975079,1418.087805,1490.167786,1881.665695,1941.888014,1958.767703,2051.039213,2088.359701,1239.44242,2425.647988,1304.778711,1460.976999,1227.77622,2227.565694,1221.444334
ENSG00000001561.6,1278.978346,1973.88572,1226.085872,1775.201719,1962.326954,1570.021179,4566.020217,1260.608494,1257.7451,2528.319731,1476.657276,1198.101857,1335.493931,1511.312283,2047.391313,971.609352,1109.307317,1409.422665,1683.883432,1010.408445,936.9191437,1172.214189,1954.263756,1401.829693,1401.952453,1980.602278,2381.498868,2191.381858,1713.70795,1952.844904,2033.150173,2367.410334,1881.030867,2254.100835,2280.066792,1928.688761,2521.859754,2165.890205,3712.136201,2155.555154,959.9082213,2873.72593,2045.800259,2549.245928,3070.122415,2321.490568,3299.177585,2549.999634,2866.589929,1631.185631,2134.273605,2292.127985,2334.391638,1205.74301,2086.629606,1910.259341,2046.378117,2048.219876,1846.629328,1510.482639,1573.223408,1874.168963,2657.079437,3844.983866,1785.643205,1860.416436,3105.085666,1178.249352,1807.380699
ENSG00000001617.7,219.2817801,188.366794,283.7059543,509.4660432,227.0706784,351.8671202,71.25129077,221.3509404,185.4876449,46.5638822,752.7084437,324.0523633,136.8212045,331.2193585,94.18991512,177.9142252,586.3481532,196.1108136,148.7529534,240.1953277,212.3948059,235.0378703,121.8937333,245.0473702,645.9879855,132.766736,179.4551603,113.0907794,113.9828885,119.8854558,84.30134864,86.24987399,207.1314285,158.7394954,148.7646884,188.3097968,253.8718431,146.5714451,92.13468554,131.8715895,709.023118,83.21026479,379.8068344,156.6021993,84.15362956,173.5415846,98.95553645,114.8737699,155.1377521,190.5034313,361.8252976,164.6444161,303.4510795,508.6728321,412.3695564,265.3963211,513.5774537,155.6488483,406.8339733,198.3562231,146.7152265,465.0715575,315.8004249,272.3777855,666.26998,339.9695459,173.2748698,448.2901575,382.6927864
ENSG00000001626.9,4.961126246,85.26075937,9.919788611,11.89414887,47.59560072,7.929399892,309.7451946,23.82252273,58.52283984,195.1720169,14.87566094,18.82873059,13.88041205,32.72526596,57.50542186,16.80301016,27.73268292,11.88550386,66.44298583,24.81356691,37.71496553,17.85097749,59.4603577,19.84189233,18.82480326,24.76991343,23.79515938,57.5374141,23.78773325,40.62234452,13.88492801,62.45680531,52.52615172,11.90546216,7.934116717,34.68864678,36.69241483,34.66216607,92.13468554,8.923641393,10.90804797,162.458136,10.90829028,19.8230632,53.46230584,30.74165212,31.66577166,50.50484713,76.08666822,0,6.939115296,7.934670654,13.88338272,5.94938985,32.71200808,2.97085434,17.84632079,20.8192727,11.9073358,28.76165235,14.86978646,16.85760443,7.919759873,38.6281223,32.71861509,16.84980257,9.90142113,52.56499634,12.88861716
ENSG00000001629.5,1703.650753,3064.430316,1366.946871,1737.536914,1950.428054,2044.793997,5215.198644,1612.98331,2274.455454,3967.837196,1819.789189,1664.856178,1586.332806,1808.8147,2681.933899,2188.34497,1983.877282,1500.544862,2302.695718,1102.714914,1480.808647,1532.208902,2506.254077,1768.904701,2106.396407,1361.354442,2288.30116,1710.250033,1380.679684,1814.134459,1819.91735,2264.307037,2127.804674,2169.770478,2032.125644,2474.787171,2358.231418,1932.168171,3784.456976,1483.307503,1224.676295,3677.101225,2083.483444,1980.324014,2497.877734,2626.923757,2186.917355,2808.465617,2601.768798,1087.457087,2252.238565,1906.304625,2796.509949,1321.756112,2521.798441,2259.829868,2806.829675,2015.503877,2548.169862,1581.890879,1589.084514,1719.475652,2548.182739,4280.788323,3168.748298,2139.924926,2258.51416,1573.974513,1797.466378
ENSG00000001630.11,72.43244319,73.36390923,127.9652731,244.8212309,170.5509026,176.4291476,184.0658345,51.61546591,204.3339832,230.8379692,188.4250386,80.26985146,148.7187005,138.8344616,217.1325412,153.2039161,163.4247387,202.0535655,118.0106763,73.44815806,36.72246644,125.9485634,179.3720791,125.9960163,85.20700423,73.31894374,133.8477715,60.51348724,124.8855996,112.9499336,89.2602515,141.7670343,68.38310319,128.97584,45.62117112,49.55520968,30.7422935,128.7451883,96.09746772,52.55033265,30.74086246,117.8812085,53.54978866,156.6021993,184.1479423,147.7582634,60.36287723,93.0873653,165.0191376,68.46217063,71.37375733,31.73868261,64.45856264,44.62042387,149.6822188,54.4656629,103.1120757,79.31151506,57.55212306,83.3096137,76.33157052,73.38016045,115.8264881,122.8176196,129.8829872,106.0546397,125.7480484,83.31056024,56.51162908
ENSG00000001631.10,958.4895908,1185.719398,1085.224874,1195.361961,1091.724091,1299.430407,1518.048334,950.9156989,826.2631456,1182.920752,1217.820776,1126.750878,1194.706894,1004.566498,997.4216275,1387.730957,1087.517352,1170.72213,967.8858832,1047.132524,867.4442072,1059.157998,1110.917683,1021.857455,787.6693996,830.2874981,1416.803448,1088.250746,1367.794662,849.1060795,1089.966849,1263.015396,1009.889596,1348.293589,931.2669496,869.1983778,1234.650175,1261.702845,1433.536451,995.4817732,991.6407245,1182.774478,967.8628469,1469.880136,1529.615973,1348.666029,993.5135859,1322.038645,1458.492497,695.5359654,1092.415008,731.9733678,1614.439077,819.0326693,1458.162542,1216.06971,1560.561607,1288.81212,1507.270257,1150.466094,1440.386649,1380.340316,1893.81258,1618.419278,1306.761657,1474.853307,1735.719124,1199.076992,1215.495741
ENSG00000002016.11,730.2777834,1641.76532,783.6633003,628.4075319,839.8640376,850.4281384,1098.457399,995.5829291,594.1556113,752.9478823,633.7031561,656.0326132,567.1139781,493.8540136,636.5255317,1017.076321,627.9471776,456.6014398,628.7291495,567.734411,683.831875,670.403377,515.3231001,654.7824468,491.426443,412.1713594,493.749557,458.315264,390.5152876,598.4364901,432.4163295,363.8356754,686.8042103,419.667541,652.5811,508.4364513,663.4385276,436.7432925,491.3849896,384.7080956,654.4828781,663.7009215,559.2977927,333.0274618,348.4950307,395.6748128,321.6054934,449.5921686,395.2554193,284.7629416,1075.562871,761.7283827,823.0862615,393.6512951,665.1441643,764.4998502,1047.975615,565.0945448,926.7876368,499.8576822,461.9546995,618.7732449,616.7513001,1295.527794,506.6427973,547.123001,602.9965468,697.2300458,653.3537468
ENSG00000002079.8,2.976675748,8.922637609,10.91176747,4.955895362,9.915750149,14.8676248,17.81282269,18.85949716,6.943387778,19.81441796,7.933685836,6.936900744,11.89749604,3.966698904,10.9062007,17.79142252,3.961811846,8.914127891,11.90023627,6.947798735,3.969996372,8.925488747,12.8830775,21.82608156,0,3.963186148,3.965859896,7.936195048,1.982311104,8.917100018,6.942464006,0,11.8927136,2.976365539,2.975293769,0,2.975060662,0.990347602,11.88834652,5.949094262,3.966562898,16.84017264,12.89161579,3.96461264,5.940256204,8.924995778,0.989555364,7.922328961,3.952554193,8.929848343,0.991302185,18.8448428,0,5.94938985,4.956364861,0,0.991462266,6.939757568,4.961389919,7.934248924,6.939233683,13.88273306,1.979939968,0.990464674,0,1.982329714,3.960568452,9.917923838,0
